diam_in,pitch_in,voltage_V,rpm,current_A,thrust_g,power_W
11,4.5,14.8,3449,1.2,200,18
11,4.5,14.8,4080,2,300,30
11,4.5,14.8,4681,2.8,400,41
11,4.5,14.8,5183,3.9,500,58
11,4.5,14.8,5624,4.9,600,73
11,4.5,14.8,6089,6,700,89
11,4.5,14.8,6512,7.3,800,108
11,4.5,14.8,6823,8.6,900,127
11,4.5,14.8,7086,10,1000,148
11,4.5,14.8,8331,15.6,1350,231
11,4.5,16,3382,1.1,200,18
11,4.5,16,4093,1.8,300,29
11,4.5,16,4646,2.7,400,43
11,4.5,16,5196,3.6,500,58
11,4.5,16,5646,4.6,600,74
11,4.5,16,6069,5.7,700,91
11,4.5,16,6496,6.8,800,109
11,4.5,16,6919,8,900,128
11,4.5,16,7148,9.4,1000,150
11,4.5,16,7795,12.2,1200,195
11,4.5,16,8856,17.7,1550,283
12,5,14.8,2920,1.1,200,16
12,5,14.8,3470,1.85,300,27
12,5,14.8,4045,2.6,400,38
12,5,14.8,4472,3.6,500,53
12,5,14.8,4760,4.6,600,68
12,5,14.8,5207,5.7,700,84
12,5,14.8,5530,6.8,800,101
12,5,14.8,5890,8.1,900,120
12,5,14.8,6111,9.4,1000,139
12,5,14.8,6727,12.2,1200,181
12,5,14.8,7233,15.5,1400,229
12,5,14.8,7823,20.1,1667,297
12,5,16,2920,1,200,16
12,5,16,3475,1.7,300,27
12,5,16,4046,2.5,400,40
12,5,16,4482,3.4,500,54
12,5,16,4780,4.3,600,69
12,5,16,5224,5.3,700,85
12,5,16,5540,6.35,800,102
12,5,16,5849,7.5,900,120
12,5,16,6134,8.7,1000,139
12,5,16,6765,11.4,1200,182
12,5,16,7244,14.35,1400,230
12,5,16,7723,17.55,1600,281
12,5,16,8279,22.4,1860,358
13,5,14.8,2444,1,200,15
13,5,14.8,3007,1.65,300,24
13,5,14.8,3435,2.4,400,36
13,5,14.8,3752,3.2,500,47
13,5,14.8,4151,4.2,600,62
13,5,14.8,4424,5.2,700,77
13,5,14.8,4770,6.3,800,93
13,5,14.8,5037,7.5,900,111
13,5,14.8,5363,8.7,1000,129
13,5,14.8,5750,11.5,1200,170
13,5,14.8,6232,14.6,1400,216
13,5,14.8,6605,18,1600,266
13,5,14.8,7239,25.4,1970,376
13,5,16,2465,1,200,16
13,5,16,2960,1.5,300,24
13,5,16,3402,2.2,400,35
13,5,16,3831,3,500,48
13,5,16,4121,3.9,600,62
13,5,16,4410,4.8,700,77
13,5,16,4737,5.8,800,93
13,5,16,5009,6.9,900,110
13,5,16,5329,8.1,1000,130
13,5,16,5709,10.6,1200,170
13,5,16,6213,13.45,1400,215
13,5,16,6637,16.9,1600,270
13,5,16,6902,20.4,1800,326
13,5,16,7346,24.3,2000,389
13,5,16,7703,28.6,2216,458
15,5.5,14.8,1945,0.8,200,12
15,5.5,14.8,2329,1.4,300,21
15,5.5,14.8,2804,2.2,400,33
15,5.5,14.8,3025,2.9,500,43
15,5.5,14.8,3330,3.7,600,55
15,5.5,14.8,3546,4.7,700,70
15,5.5,14.8,3784,5.7,800,84
15,5.5,14.8,4008,6.7,900,99
15,5.5,14.8,4212,7.9,1000,117
15,5.5,14.8,4589,10.6,1200,157
15,5.5,14.8,4876,13.7,1400,203
15,5.5,14.8,5155,17.1,1600,253
15,5.5,14.8,5451,20.9,1800,309
15,5.5,14.8,5775,25.8,2000,382
15,5.5,14.8,6250,36.3,2430,537
15,5.5,16,2006,0.8,200,13
15,5.5,16,2400,1.3,300,21
15,5.5,16,2747,2,400,32
15,5.5,16,2994,2.7,500,43
15,5.5,16,3314,3.5,600,56
15,5.5,16,3479,4.3,700,69
15,5.5,16,3774,5.3,800,85
15,5.5,16,3969,6.25,900,100
15,5.5,16,4176,7.4,1000,118
15,5.5,16,4500,9.8,1200,157
15,5.5,16,4839,12.6,1400,202
15,5.5,16,5152,15.7,1600,251
15,5.5,16,5487,19.3,1800,309
15,5.5,16,5690,24.1,2000,386
15,5.5,16,5948,29.3,2200,469
15,5.5,16,6603,41.8,2620,669
